Member_number,Date,itemDescription
4941,14-02-2015,rolls/buns
2762,20-03-2015,whole milk
4546,03-09-2015,chicken
2867,12-11-2015,whole milk
3611,13-02-2015,sausage
3527,29-09-2015,canned beer
3903,06-10-2015,canned beer
4272,06-06-2015,coffee
4620,11-03-2015,sausage
1061,05-09-2015,whole milk
3276,03-04-2015,whole milk
3023,28-07-2015,rolls/buns
3552,16-06-2015,rolls/buns
2874,15-02-2015,sausage
1663,07-02-2015,rolls/buns
2632,02-03-2015,whole milk
1377,14-03-2015,curd cheese
2270,01-07-2015,sausage
4766,29-09-2015,whole milk
3860,05-05-2015,whole milk
4875,12-05-2015,frozen potato products
2022,04-03-2015,herbs
4851,20-12-2015,sausage
4293,04-08-2015,coffee
2560,17-05-2015,sausage
2555,23-12-2015,whole milk
2932,20-03-2015,sausage
4291,08-12-2015,sausage
4564,08-07-2015,rolls/buns
4931,04-05-2015,whole milk
2990,23-05-2015,whole milk
1306,23-06-2015,whole milk
1024,10-08-2015,fish
1971,18-09-2015,sausage
2489,04-05-2015,whole milk
3564,27-06-2015,newspapers
2295,25-02-2015,rolls/buns
4760,22-02-2015,canned beer
3649,16-01-2015,canned beer
4106,25-08-2015,whole milk
3028,09-06-2015,sausage
2851,16-03-2015,rolls/buns
2288,31-05-2015,coffee
2184,30-06-2015,popcorn
2614,25-06-2015,whole milk
2587,07-05-2015,canned beer
3783,17-06-2015,finished products
1923,14-02-2015,beverages
1514,24-08-2015,whole milk
4559,16-03-2015,whole milk
1709,22-04-2015,sausage
2257,05-02-2015,herbs
2001,21-08-2015,rolls/buns
3310,17-01-2015,canned beer
2760,07-01-2015,sausage
4249,13-09-2015,canned beer
3060,05-07-2015,canned beer
3768,07-10-2015,whole milk
1222,24-09-2015,condensed milk
2943,20-06-2015,sausage
2270,11-08-2015,whole milk
3812,21-07-2015,sausage
1482,22-11-2015,beverages
4720,22-02-2015,beverages
2397,04-10-2015,newspapers
4487,10-07-2015,sausage
3467,24-12-2015,newspapers
2443,15-11-2015,sausage
1674,04-12-2015,sausage
4891,05-09-2015,whole milk
3962,20-09-2015,sausage
3808,18-08-2015,whole milk
4387,08-05-2015,whole milk
1555,27-03-2015,rolls/buns
1181,16-11-2015,sausage
3449,08-03-2015,sausage
1547,18-04-2015,pickled vegetables
2703,08-05-2015,canned beer
4148,09-04-2015,canned beer
3967,30-05-2015,pasta
3935,02-07-2015,sausage
3283,01-05-2015,whole milk
2440,06-06-2015,sausage
4229,06-03-2015,sausage
3720,28-05-2015,sausage
1949,22-07-2015,canned beer
4498,11-02-2015,bottled beer
2447,28-12-2015,onions
4899,12-03-2015,chicken
4243,02-04-2015,sausage
3006,27-12-2015,chicken
1765,11-03-2015,margarine
4170,03-05-2015,sausage
2055,04-02-2015,newspapers
4818,11-01-2015,salt
3760,22-11-2015,whole milk
1174,11-02-2015,rolls/buns
4103,19-06-2015,whole milk
4408,13-03-2015,whole milk
2838,10-11-2015,rolls/buns
3973,10-06-2015,rolls/buns
3967,23-11-2015,whole milk
3143,24-05-2015,coffee
2209,03-10-2015,bottled beer
2816,22-08-2015,onions
2166,10-12-2015,sausage
3944,03-01-2015,onions
4979,24-04-2015,coffee
1743,18-04-2015,sliced cheese
2331,15-02-2015,sausage
1500,21-03-2015,whole milk
4694,06-02-2015,canned beer
3612,27-09-2015,sausage
4953,16-09-2015,chicken
3180,15-03-2015,whole milk
4934,06-09-2015,rolls/buns
2980,27-04-2015,bottled beer
4285,29-12-2015,whole milk
1086,28-12-2015,rolls/buns
4700,27-06-2015,coffee
2272,16-05-2015,rolls/buns
4122,23-10-2015,whole milk
3246,24-06-2015,coffee
3207,26-11-2015,bottled beer
1176,30-03-2015,whole milk
4169,24-11-2015,whole milk
2920,26-04-2015,whole milk
3869,01-08-2015,sausage
2988,14-10-2015,bottled beer
1199,09-11-2015,beverages
4748,07-05-2015,rolls/buns
3495,11-03-2015,whole milk
2991,16-02-2015,whole milk
3950,01-10-2015,white bread
2813,16-07-2015,coffee
4726,06-02-2015,whole milk
4353,25-05-2015,bottled beer
1155,10-08-2015,whole milk
2119,11-06-2015,herbs
3959,12-04-2015,white bread
1590,15-08-2015,coffee
3978,23-07-2015,sausage
2062,22-09-2015,whole milk
3922,24-06-2015,whole milk
4484,27-11-2015,rolls/buns
