Member_number,Date,itemDescription
2867,12-11-2015,whole milk
4286,08-03-2015,brown bread
4272,06-06-2015,coffee
1061,05-09-2015,whole milk
4177,13-04-2015,frankfurter
2270,01-07-2015,sausage
2436,12-04-2015,frankfurter
3860,05-05-2015,whole milk
4851,20-12-2015,sausage
4389,20-10-2015,detergent
2560,17-05-2015,sausage
2932,20-03-2015,sausage
1711,18-06-2015,frankfurter
4291,08-12-2015,sausage
3058,18-05-2015,hamburger meat
1306,23-06-2015,whole milk
1971,18-09-2015,sausage
2489,04-05-2015,whole milk
4760,22-02-2015,canned beer
3649,16-01-2015,canned beer
2614,25-06-2015,whole milk
4559,16-03-2015,whole milk
1782,10-10-2015,pork
3375,26-04-2015,frankfurter
2270,11-08-2015,whole milk
2443,15-11-2015,sausage
1674,04-12-2015,sausage
2082,07-04-2015,frankfurter
3206,13-10-2015,frankfurter
1226,13-04-2015,hard cheese
3572,09-07-2015,pork
1181,16-11-2015,sausage
4667,12-01-2015,root vegetables
3449,08-03-2015,sausage
1058,10-11-2015,root vegetables
1027,17-05-2015,pork
2703,08-05-2015,canned beer
2212,27-08-2015,hamburger meat
2996,26-09-2015,frankfurter
4243,02-04-2015,sausage
1834,17-09-2015,frankfurter
1054,04-10-2015,frankfurter
4408,13-03-2015,whole milk
1518,11-12-2015,frankfurter
3967,23-11-2015,whole milk
4340,25-12-2015,butter milk
3143,24-05-2015,coffee
2331,15-02-2015,sausage
3598,15-04-2015,pork
3572,09-06-2015,specialty chocolate
4486,02-12-2015,frankfurter
4169,24-11-2015,whole milk
3375,06-01-2015,pork
3897,31-05-2015,hamburger meat
3638,26-05-2015,pork
1155,10-08-2015,whole milk
2256,11-04-2015,female sanitary products
1590,15-08-2015,coffee
1807,18-05-2015,hamburger meat
2067,12-08-2015,root vegetables
3718,20-05-2015,hamburger meat
3486,08-11-2015,canned beer
3872,19-03-2015,frankfurter
2777,07-04-2015,whole milk
2702,27-05-2015,pork
1564,23-10-2015,sausage
1757,23-12-2015,root vegetables
3772,09-03-2015,whole milk
4389,27-08-2015,pork
3206,11-08-2015,soap
2170,18-06-2015,canned beer
2941,03-10-2015,hamburger meat
4954,04-05-2015,whole milk
2207,08-04-2015,frankfurter
4437,29-11-2015,domestic eggs
2319,10-05-2015,whole milk
1195,28-09-2015,whole milk
1489,13-03-2015,pork
3027,15-09-2015,sausage
1757,24-02-2015,pork
1072,23-10-2015,frankfurter
4814,13-09-2015,whole milk
4670,11-10-2015,sausage
4566,27-07-2015,frankfurter
3896,10-09-2015,sausage
2068,07-06-2015,frankfurter
4509,14-06-2015,pork
3178,21-10-2015,frankfurter
1688,10-11-2015,finished products
1335,16-01-2015,frankfurter
4640,25-09-2015,root vegetables
3306,22-09-2015,frankfurter
2193,08-04-2015,root vegetables
3164,30-04-2015,pork
3601,01-04-2015,whole milk
4323,13-05-2015,whole milk
4632,30-09-2015,frankfurter
3987,18-06-2015,sausage
1672,07-10-2015,whole milk
4506,11-08-2015,pork
4509,28-09-2015,sliced cheese
4437,09-10-2015,pork
1773,17-10-2015,frankfurter
3100,23-05-2015,frankfurter
3673,12-08-2015,frankfurter
1832,28-09-2015,pork
1658,03-09-2015,sausage
1155,27-12-2015,frankfurter
3841,02-04-2015,frankfurter
1273,31-01-2015,pork
1293,01-03-2015,whole milk
4792,20-07-2015,turkey
1018,23-05-2015,butter milk
2928,11-02-2015,pork
1412,05-07-2015,root vegetables
2899,06-09-2015,sausage
2370,18-07-2015,specialty chocolate
4464,21-10-2015,sausage
2928,22-09-2015,frankfurter
4117,06-01-2015,brown bread
1516,28-01-2015,brown bread
2561,26-02-2015,root vegetables
3236,09-04-2015,finished products
1231,14-10-2015,sausage
3742,22-08-2015,sausage
3458,13-08-2015,sausage
4217,23-11-2015,pork
2499,22-11-2015,root vegetables
1308,14-03-2015,pork
1331,07-10-2015,condensed milk
4416,23-12-2015,finished products
4274,30-09-2015,frankfurter
3698,30-08-2015,sausage
3960,20-06-2015,frankfurter
2305,05-01-2015,canned beer
1053,09-07-2015,hamburger meat
1190,11-06-2015,root vegetables
1920,09-02-2015,whole milk
3241,20-09-2015,root vegetables
2492,10-04-2015,frankfurter
1538,08-03-2015,sausage
4217,01-12-2015,whole milk
4727,21-11-2015,frankfurter
4509,23-07-2015,sausage
4864,22-07-2015,canned beer
1212,31-07-2015,root vegetables
1864,27-09-2015,finished products
2240,07-07-2015,sausage
3872,07-02-2015,whole milk
3184,24-10-2015,root vegetables
3601,03-02-2015,sausage
2307,29-06-2015,canned beer
2536,07-11-2015,whole milk
3445,15-02-2015,sausage
1356,08-09-2015,hard cheese
3390,01-12-2015,canned beer
1035,08-09-2015,whole milk
2193,03-09-2015,hamburger meat
2765,04-09-2015,butter
4609,07-11-2015,whole milk
4719,22-08-2015,frankfurter
2348,11-12-2015,domestic eggs
2447,15-10-2015,frankfurter
4838,31-01-2015,frankfurter
1378,12-10-2015,frankfurter
3200,01-04-2015,whole milk
3653,12-09-2015,detergent
2600,18-02-2015,pork
2073,04-02-2015,sausage
4033,06-06-2015,turkey
1785,21-12-2015,sausage
1476,22-03-2015,whole milk
3471,14-01-2015,frankfurter
3369,29-12-2015,sausage
3118,29-12-2015,whole milk
2527,11-08-2015,domestic eggs
1773,01-11-2015,whole milk
2550,08-06-2015,butter milk
1319,19-05-2015,pork
3471,12-10-2015,sliced cheese
3143,21-01-2015,candy
3726,26-05-2015,sausage
2563,06-01-2015,frozen meals
1742,12-12-2015,sausage
1092,09-10-2015,frankfurter
2028,20-12-2015,coffee
2331,28-11-2015,canned beer
3758,13-01-2015,whole milk
2563,29-12-2015,coffee
1831,09-01-2015,pork
2695,07-01-2015,whole milk
4538,28-11-2015,sausage
2508,06-10-2015,canned beer
3282,22-06-2015,frankfurter
3200,11-02-2015,hamburger meat
4425,17-10-2015,butter milk
3443,23-10-2015,root vegetables
3882,19-10-2015,frankfurter
4309,15-09-2015,whole milk
3759,02-04-2015,whole milk
1776,15-02-2015,canned beer
3449,10-10-2015,whole milk
4793,24-11-2015,root vegetables
4187,31-07-2015,sausage
1701,17-05-2015,canned beer
3774,17-12-2015,whole milk
3438,26-10-2015,pork
3872,22-01-2015,sausage
1474,24-06-2015,white bread
3061,17-08-2015,sausage
2816,15-05-2015,whole milk
4896,24-10-2015,flour
1162,06-08-2015,canned beer
3067,17-07-2015,butter milk
1000,24-07-2015,canned beer
3082,25-09-2015,brown bread
1952,23-11-2015,finished products
2514,02-11-2015,whole milk
3642,24-02-2015,sausage
3637,10-07-2015,sausage
1353,09-02-2015,pork
3741,06-08-2015,butter milk
4759,20-02-2015,frankfurter
2792,29-07-2015,condensed milk
4875,13-09-2015,flour
1757,15-06-2015,frankfurter
1006,14-06-2015,whole milk
1884,11-12-2015,frankfurter
2636,11-09-2015,sausage
3469,10-05-2015,hamburger meat
2031,26-02-2015,sausage
3164,30-09-2015,butter
2799,12-08-2015,whole milk
2693,02-11-2015,brown bread
2003,23-11-2015,sausage
2563,03-08-2015,detergent
2867,25-06-2015,butter
4524,10-12-2015,whole milk
3021,30-01-2015,frankfurter
1839,09-10-2015,pork
1158,25-08-2015,whole milk
1780,21-09-2015,sausage
2082,23-11-2015,brown bread
4272,22-03-2015,whole milk
3757,24-06-2015,whole milk
1204,23-07-2015,sliced cheese
2869,29-04-2015,whole milk
4814,12-02-2015,root vegetables
3647,03-03-2015,frozen meals
4406,01-02-2015,domestic eggs
4625,07-04-2015,sausage
3682,12-10-2015,whole milk
4992,23-05-2015,canned beer
4238,08-03-2015,frankfurter
3044,05-01-2015,sausage
2101,07-01-2015,root vegetables
2070,16-07-2015,frankfurter
1827,02-05-2015,frankfurter
4933,27-02-2015,whole milk
4670,31-08-2015,whole milk
1356,02-04-2015,soft cheese
3745,26-08-2015,sausage
1474,29-07-2015,frankfurter
1150,25-05-2015,canned beer
2167,29-05-2015,pork
4632,04-10-2015,pork
3698,24-08-2015,frankfurter
3159,31-01-2015,whole milk
2703,27-03-2015,hamburger meat
4999,16-05-2015,butter milk
2630,15-02-2015,frankfurter
3710,15-07-2015,whole milk
3758,06-03-2015,pork
4002,28-08-2015,canned beer
2561,19-08-2015,sausage
4378,04-05-2015,frankfurter
1184,16-06-2015,root vegetables
4793,04-11-2015,sausage
